RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2029,54%@2035,91%@2034,47%@2034,47%@2034,48%@2039] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 1% BCPU@39.5C MCPU@39.5C GPU@36.5C PLL@39.5C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.3C VDD_IN 8517/8545 VDD_CPU 3973/4030 VDD_GPU 300/281 VDD_SOC 1201/1201 VDD_WIFI 38/51 VDD_DDR 1648/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2031,52%@2034,96%@2035,49%@2033,48%@2034,51%@2036] EMC_FREQ 6%@1866 GR3D_FREQ 3%@1300 APE 150 MTS fg 0% bg 0% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.6C VDD_IN 8554/8545 VDD_CPU 4123/4033 VDD_GPU 300/282 VDD_SOC 1201/1201 VDD_WIFI 38/51 VDD_DDR 1648/1636
RAM 1269/7846MB (lfb 1394x4MB) CPU [55%@2033,54%@2034,95%@2034,51%@2033,47%@2035,51%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 5%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36.5C PLL@39.5C Tboard@33C Tdiode@35.5C PMIC@100C thermal@38.6C VDD_IN 8592/8546 VDD_CPU 4123/4035 VDD_GPU 300/282 VDD_SOC 1201/1201 VDD_WIFI 38/51 VDD_DDR 1629/1636
RAM 1269/7846MB (lfb 1394x4MB) CPU [55%@2035,55%@2034,94%@2035,47%@2033,47%@2033,50%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 1% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.5C PMIC@100C thermal@38.6C VDD_IN 8629/8548 VDD_CPU 4123/4038 VDD_GPU 300/283 VDD_SOC 1201/1201 VDD_WIFI 19/50 VDD_DDR 1610/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2032,51%@2035,98%@2035,49%@2033,50%@2034,48%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 1% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.3C VDD_IN 8592/8550 VDD_CPU 4123/4040 VDD_GPU 225/281 VDD_SOC 1201/1201 VDD_WIFI 38/49 VDD_DDR 1648/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2031,51%@2034,96%@2033,49%@2034,47%@2034,46%@2036] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 1% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.6C VDD_IN 8592/8551 VDD_CPU 4048/4040 VDD_GPU 225/280 VDD_SOC 1201/1201 VDD_WIFI 38/49 VDD_DDR 1648/1636
RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2032,52%@2035,97%@2035,50%@2034,49%@2033,50%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36.5C PLL@39.5C Tboard@33C Tdiode@35.5C PMIC@100C thermal@38.6C VDD_IN 8592/8552 VDD_CPU 4123/4042 VDD_GPU 225/278 VDD_SOC 1201/1201 VDD_WIFI 57/49 VDD_DDR 1629/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2030,53%@2035,97%@2033,49%@2041,50%@2038,48%@2035] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 3% BCPU@39.5C MCPU@39.5C GPU@36.5C PLL@39.5C Tboard@33C Tdiode@35.5C PMIC@100C thermal@38.6C VDD_IN 8738/8556 VDD_CPU 4198/4046 VDD_GPU 225/277 VDD_SOC 1201/1201 VDD_WIFI 96/50 VDD_DDR 1629/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [55%@2034,51%@2035,97%@2035,53%@2037,50%@2034,49%@2035] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 1% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.6C VDD_IN 8592/8557 VDD_CPU 4048/4046 VDD_GPU 225/276 VDD_SOC 1201/1201 VDD_WIFI 96/52 VDD_DDR 1610/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [57%@2036,51%@2034,97%@2033,51%@2037,49%@2034,51%@2036] EMC_FREQ 6%@1866 GR3D_FREQ 5%@1300 APE 150 MTS fg 0% bg 3% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.6C VDD_IN 8700/8561 VDD_CPU 4198/4050 VDD_GPU 300/276 VDD_SOC 1201/1201 VDD_WIFI 57/52 VDD_DDR 1629/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2034,51%@2036,97%@2035,50%@2024,47%@2031,47%@2032] EMC_FREQ 6%@1866 GR3D_FREQ 8%@1300 APE 150 MTS fg 0% bg 0% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.6C VDD_IN 8629/8562 VDD_CPU 4123/4051 VDD_GPU 300/277 VDD_SOC 1201/1201 VDD_WIFI 38/51 VDD_DDR 1629/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2034,51%@2035,98%@2034,50%@2034,51%@2037,50%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 4%@1300 APE 150 MTS fg 0% bg 0% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.6C VDD_IN 8554/8562 VDD_CPU 4048/4051 VDD_GPU 300/277 VDD_SOC 1201/1201 VDD_WIFI 38/51 VDD_DDR 1629/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [50%@2035,53%@2034,92%@2034,52%@2033,47%@2033,47%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 10%@1300 APE 150 MTS fg 0% bg 0% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.6C VDD_IN 8517/8561 VDD_CPU 4048/4051 VDD_GPU 300/278 VDD_SOC 1201/1201 VDD_WIFI 38/51 VDD_DDR 1629/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2033,52%@2035,97%@2035,53%@2034,49%@2034,50%@2036] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.6C VDD_IN 8592/8562 VDD_CPU 4123/4053 VDD_GPU 300/278 VDD_SOC 1201/1201 VDD_WIFI 57/51 VDD_DDR 1610/1633
RAM 1269/7846MB (lfb 1394x4MB) CPU [55%@2035,51%@2035,98%@2034,52%@2032,49%@2036,48%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.6C VDD_IN 8629/8563 VDD_CPU 4123/4054 VDD_GPU 300/279 VDD_SOC 1201/1201 VDD_WIFI 38/51 VDD_DDR 1648/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2035,85%@2035,57%@2036,50%@2034,50%@2034,50%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.6C VDD_IN 8592/8564 VDD_CPU 4048/4054 VDD_GPU 300/279 VDD_SOC 1201/1201 VDD_WIFI 76/51 VDD_DDR 1648/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [56%@2032,98%@2035,53%@2035,49%@2037,50%@2034,48%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 9%@1300 APE 150 MTS fg 0% bg 0% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@33C Tdiode@35.75C PMIC@100C thermal@38.6C VDD_IN 8554/8563 VDD_CPU 4048/4054 VDD_GPU 300/280 VDD_SOC 1201/1201 VDD_WIFI 38/51 VDD_DDR 1648/1634

